dataset_id,variant,layer,talker_a_id,talker_b_id,n_matched_items,mean_raw_distance,item_scope,tau,dtw_normalization
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sm2,138,18.885570752504407,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm2,AN19.ENG.ef2,138,18.885570752504407,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sm3,138,20.48285774733512,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm3,AN19.ENG.ef2,138,20.48285774733512,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sm4,138,16.940265783014194,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm4,AN19.ENG.ef2,138,16.940265783014194,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sm5,138,16.154059256454612,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm5,AN19.ENG.ef2,138,16.154059256454612,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sm6,138,18.66016081570789,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm6,AN19.ENG.ef2,138,18.66016081570789,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sm7,138,18.252914299100684,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sm7,AN19.ENG.ef2,138,18.252914299100684,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef3,AN19.ENG.em1,138,15.696907990077849,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em1,AN19.ENG.ef3,138,15.696907990077849,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef3,AN19.ENG.em2,138,14.879123825238016,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em2,AN19.ENG.ef3,138,14.879123825238016,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef3,AN19.ENG.em3,138,17.107935771919376,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em3,AN19.ENG.ef3,138,17.107935771919376,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef3,AN19.KOR.kf1,138,18.840504730708037,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf1,AN19.ENG.ef3,138,18.840504730708037,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef3,AN19.KOR.kf2,138,17.447363829919116,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf2,AN19.ENG.ef3,138,17.447363829919116,138 globally common words,2.0,mean_sequence_length
