dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high,measure
B23,HVE,ft,ft,tr_24::order_phoneme,predictor_only_percent_ceiling,-0.772743465128429,-3.906268172660229,2.177543722671386,10080,168,54096,96.16707054105137,102.19993902511295,order_phoneme
B23,HVE,ft,ft,tr_24::order_sentence,predictor_only_percent_ceiling,-0.82864170081863,-4.651190850878346,2.936475414302334,10080,168,54096,96.16707054105137,102.19993902511295,order_sentence
B23,HVE,ft,ft,tr_24::order_word,predictor_only_percent_ceiling,-1.401626604873393,-5.521770640236546,2.794498193364566,10080,168,54096,96.16707054105137,102.19993902511295,order_word
B23,HVE,ft,ft,tr_24::overall,predictor_only_percent_ceiling,-0.5109345248893283,-1.4157502490756932,0.3953070007967759,10080,168,54096,96.16707054105137,102.19993902511295,overall
B23,HVE,ft,ft,tr_24::overall_order_sensitive,predictor_only_percent_ceiling,-0.8374305557888283,-8.272184688556713,6.6121632976363625,5820,97,31234,89.37261206053246,109.6311389165602,overall_order_sensitive
B23,HVE,ft,ft,tr_24::within_token_phoneme,predictor_only_percent_ceiling,0.5400441774228998,-2.4137991392478195,3.575518301478492,10080,168,54096,96.16707054105137,102.19993902511295,within_token_phoneme
B23,HVE,ft,ft,tr_24::within_token_sentence,predictor_only_percent_ceiling,0.03710692236125206,-1.1240509259425318,1.2067096913325681,10080,168,54096,96.16707054105137,102.19993902511295,within_token_sentence
B23,HVE,ft,ft,tr_24::within_token_word,predictor_only_percent_ceiling,0.38408756426408935,-2.5289596939129844,3.275633349802457,10080,168,54096,96.16707054105137,102.19993902511295,within_token_word
B23,HVE,ft,ft,tr_24::within_type_phoneme,predictor_only_percent_ceiling,-0.5564075970511283,-2.1249838154415106,0.9882199616622211,10080,168,54096,96.16707054105137,102.19993902511295,within_type_phoneme
B23,HVE,ft,ft,tr_24::within_type_word,predictor_only_percent_ceiling,-1.1749141566938448,-2.4720751006710033,-0.07451358213474504,10080,168,54096,96.16707054105137,102.19993902511295,within_type_word
