dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss,held_out_log_likelihood_per_trial,variant,predictor_definition
X21,cnn_5,oof_fold,2.0,M_predictor,5466,5466,2792.22156588083,0.510834534555586,-0.5108345345555855,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_6,oof_fold,0.0,M_predictor,5508,5508,2380.87882132935,0.432258319050354,-0.43225831905035406,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_6,oof_fold,1.0,M_predictor,5503,5503,2848.31572549732,0.517593262856136,-0.5175932628561366,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_6,oof_fold,2.0,M_predictor,5466,5466,2797.84270544713,0.511862917205842,-0.5118629172058415,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_0,oof_fold,0.0,M_predictor,5508,5508,2370.95017179728,0.430455731989339,-0.4304557319893391,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_0,oof_fold,1.0,M_predictor,5503,5503,2837.74696867287,0.515672718276008,-0.5156727182760077,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_0,oof_fold,2.0,M_predictor,5466,5466,2789.68224617261,0.510369968198429,-0.5103699681984285,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_10,oof_fold,0.0,M_predictor,5508,5508,2378.70760962141,0.431864126656029,-0.4318641266560294,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_10,oof_fold,1.0,M_predictor,5503,5503,2847.71717893875,0.517484495536753,-0.5174844955367527,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_10,oof_fold,2.0,M_predictor,5466,5466,2792.53377942892,0.510891653755749,-0.5108916537557482,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_12,oof_fold,0.0,M_predictor,5508,5508,2369.58309119655,0.430207532896976,-0.4302075328969771,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_12,oof_fold,1.0,M_predictor,5503,5503,2841.56967720729,0.516367377286441,-0.516367377286442,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_12,oof_fold,2.0,M_predictor,5466,5466,2782.47389165427,0.509051205937481,-0.5090512059374808,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_14,oof_fold,0.0,M_predictor,5508,5508,2359.24094195282,0.42832987326667,-0.42832987326667027,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_14,oof_fold,1.0,M_predictor,5503,5503,2824.23106276993,0.51321662052879,-0.5132166205287897,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_14,oof_fold,2.0,M_predictor,5466,5466,2771.42905549316,0.50703056265883,-0.5070305626588291,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_16,oof_fold,0.0,M_predictor,5508,5508,2372.497420544,0.430736641347859,-0.4307366413478576,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_16,oof_fold,1.0,M_predictor,5503,5503,2847.84130371854,0.517507051375348,-0.517507051375348,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,tr_16,oof_fold,2.0,M_predictor,5466,5466,2786.97995053026,0.509875585534259,-0.509875585534259,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
