k,kind,status,z,log_likelihood,coefficient,std_error,singular,var_participant,var_item,var_talker,n_rows,participants,n_word_responses,predictor_shifted_mean,predictor_sd,fit_seconds,warnings,convergence,lme4_version,tau
2.6165663326318e-05,grid,ok,4.11409583677011,-3161.9924936891,0.222457393233664,0.054072000765133,False,0.812152321261228,2.42830733842931,,8290,161,8290,-0.0009179862033103,0.0005596234842417,4.03,,ok,1.1.35.5,0.5
3.76060309308639e-05,grid,ok,4.11426917876402,-3161.99197213176,0.222473707175336,0.0540736878188825,False,0.812150200199476,2.42827264415084,,8290,161,8290,-0.0013189924436698,0.0008038301492602,4.24,,ok,1.1.35.5,0.5
5.40484506253906e-05,grid,ok,4.11447232011802,-3161.99122472597,0.222497029449103,0.0540766864225059,False,0.812146053320413,2.42822341325488,,8290,161,8290,-0.0018949432721682,0.0011543041198518,4.63,,ok,1.1.35.5,0.5
7.76799609715734e-05,grid,ok,4.11476983425984,-3161.9901558238,0.222530514192349,0.0540809141594132,False,0.812141684533805,2.42815452027747,,8290,161,8290,-0.0027219182230789,0.0016569705449357,4.09,,ok,1.1.35.5,0.5
0.000111643835609,grid,ok,4.11523624012546,-3161.98863055448,0.222578558691838,0.0540864596111381,False,0.812133862885761,2.428053836622,,8290,161,8290,-0.00390882448522,0.0023772652119587,4.21,,ok,1.1.35.5,0.5
0.0001604576762604,grid,ok,4.11584787325955,-3161.98646079467,0.222647285561859,0.0540951202323067,False,0.812123830515117,2.42790934402414,,8290,161,8290,-0.0056112883020848,0.0034080666492327,3.89,,ok,1.1.35.5,0.5
0.0002306143078159,grid,ok,4.11673931346378,-3161.98338767581,0.222745247348604,0.0541072024211289,False,0.812108305020847,2.42770449983759,,8290,161,8290,-0.008051134517631,0.0048804741055522,3.76000000000001,,ok,1.1.35.5,0.5
0.0003314454017339,grid,ok,4.11798623003089,-3161.97906447128,0.222884047913114,0.0541245248193659,False,0.812087508474065,2.42741311955462,,8290,161,8290,-0.0115433928062802,0.0069780424975197,4.13,,ok,1.1.35.5,0.5
0.0004763627000032,grid,ok,4.11973491846968,-3161.97304183672,0.223080355604293,0.0541492013488962,False,0.812056520349474,2.42699884051499,,8290,161,8290,-0.0165331032945941,0.0099547345988388,3.64,,ok,1.1.35.5,0.5
0.0006846419373062,grid,ok,4.12213677460973,-3161.96477382021,0.223355285171498,0.054184345979797,False,0.812012552268458,2.42641578752363,,8290,161,8290,0.976355825942692,0.0141557931681148,4.14999999999999,,ok,1.1.35.5,0.5
0.000983986744376,grid,ok,4.12537508277036,-3161.95367196911,0.22373633773614,0.0542341807101554,False,0.811948458418636,2.42560158772318,,8290,161,8290,0.966258433128199,0.0200382595676954,3.97000000000001,,ok,1.1.35.5,0.5
0.001,grid,ok,4.12554332202023,-3161.95310376573,0.223756356169294,0.0542368213599858,False,0.811944667423549,2.42555776890256,,8290,161,8290,0.965722317740342,0.0203478750166556,4.02,,ok,1.1.35.5,0.5
0.001414213562373,grid,ok,4.1295566396094,-3161.93927515104,0.224255719697658,0.0543050354477932,False,0.811856757087379,2.42447866380605,,8290,161,8290,0.951995029015997,0.0281828265568004,4.00999999999999,,ok,1.1.35.5,0.5
0.0020325477059837,grid,ok,4.1347305000352,-3161.92164309572,0.224945857055303,0.0544039949044776,False,0.811725499587971,2.42296322872982,,8290,161,8290,0.931995236031431,0.039279655628768,4.38000000000001,,ok,1.1.35.5,0.5
0.0029212350150052,grid,ok,4.14051196483551,-3161.90217269087,0.225829161491162,0.0545413618917373,False,0.811538194081217,2.42097580751066,,8290,161,8290,0.904243754784545,0.0540568887826537,3.61,,ok,1.1.35.5,0.5
0.0041984815351543,grid,ok,4.14572517090998,-3161.88508686782,0.226893173268866,0.0547294294520404,False,0.81126976387291,2.41848293827054,,8290,161,8290,0.866297701549065,0.0731045532313589,3.87,,ok,1.1.35.5,0.5
