dataset_id,fold,SubjectID,Keyword,TestTalker,ceiling_z,numCorrect,numIncorrect
AN19,1,AN19.25,vice,AN19.KOR.km8,0.0023865614072582204,1,0
AN19,1,AN19.25,vote,AN19.KOR.kf3,0.06135366074586355,1,0
AN19,1,AN19.25,wash,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.25,wave,AN19.KOR.km3,0.47783501870924494,1,0
AN19,1,AN19.25,weed,AN19.KOR.km3,0.35088676969468063,1,0
AN19,1,AN19.25,wick,AN19.KOR.kf1,-0.16019829852699435,1,0
AN19,1,AN19.29,hash,AN19.KOR.kf5,0.35088676969468063,0,1
AN19,1,AN19.29,main,AN19.KOR.km1,0.35088676969468063,1,0
AN19,1,AN19.29,mote,AN19.KOR.kf1,-0.05224376945150042,1,0
AN19,1,AN19.29,shop,AN19.KOR.kf5,0.7158719488095222,0,1
AN19,1,AN19.29,vice,AN19.KOR.km8,0.0023865614072582204,0,1
AN19,1,AN19.29,dog,AN19.KOR.kf1,-0.2516126945097697,0,1
AN19,1,AN19.29,fig,AN19.KOR.km8,-0.8736836859292585,0,1
AN19,1,AN19.29,gut,AN19.KOR.kf3,-0.8736836859292585,0,1
AN19,1,AN19.29,hid,AN19.KOR.kf5,-0.8736836859292585,0,1
AN19,1,AN19.29,hoot,AN19.KOR.kf3,-0.4312075767166793,0,1
AN19,1,AN19.29,league,AN19.KOR.kf1,-0.16019829852699435,0,1
AN19,1,AN19.29,leg,AN19.KOR.km1,-0.07890586855986807,0,1
AN19,1,AN19.29,lose,AN19.KOR.km1,0.09380095739003347,0,1
AN19,1,AN19.29,moan,AN19.KOR.km1,0.7158719488095222,0,1
AN19,1,AN19.29,mum,AN19.KOR.km1,0.0023865614072582204,0,1
AN19,1,AN19.29,pull,AN19.KOR.kf5,0.215949545902108,0,1
AN19,1,AN19.29,teat,AN19.KOR.kf3,-0.8736836859292585,0,1
AN19,1,AN19.29,vote,AN19.KOR.kf3,0.06135366074586355,0,1
AN19,1,AN19.29,wail,AN19.KOR.km3,0.09380095739003347,0,1
AN19,1,AN19.29,beak,AN19.KOR.km8,0.1693081898213575,1,0
AN19,1,AN19.29,bun,AN19.KOR.kf1,0.1693081898213575,1,0
AN19,1,AN19.29,chain,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.29,curve,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.29,dirt,AN19.KOR.km8,0.35088676969468063,1,0
AN19,1,AN19.29,hag,AN19.KOR.km8,0.2733958395969432,1,0
AN19,1,AN19.29,hum,AN19.KOR.km8,-0.025261074734421914,1,0
AN19,1,AN19.29,hung,AN19.KOR.kf1,0.0023865614072582204,1,0
AN19,1,AN19.29,hurl,AN19.KOR.kf3,0.35088676969468063,1,0
AN19,1,AN19.29,join,AN19.KOR.kf3,0.2733958395969432,1,0
AN19,1,AN19.29,judge,AN19.KOR.kf1,0.7158719488095222,1,0
AN19,1,AN19.29,lice,AN19.KOR.kf1,-0.07890586855986807,1,0
AN19,1,AN19.29,mace,AN19.KOR.kf5,-0.05224376945150042,1,0
AN19,1,AN19.29,mid,AN19.KOR.kf5,0.1293348104218226,1,0
AN19,1,AN19.29,noise,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.29,page,AN19.KOR.kf3,0.1293348104218226,1,0
AN19,1,AN19.29,path,AN19.KOR.km3,0.47783501870924494,1,0
AN19,1,AN19.29,real,AN19.KOR.km8,0.7158719488095222,1,0
AN19,1,AN19.29,rim,AN19.KOR.km1,0.35088676969468063,1,0
AN19,1,AN19.29,roof,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.29,route,AN19.KOR.km3,-0.10556796766823576,1,0
AN19,1,AN19.29,soil,AN19.KOR.km1,0.7158719488095222,1,0
AN19,1,AN19.29,suck,AN19.KOR.km8,0.2733958395969432,1,0
AN19,1,AN19.29,theme,AN19.KOR.km1,0.47783501870924494,1,0
AN19,1,AN19.29,thick,AN19.KOR.kf3,-0.05224376945150042,1,0
AN19,1,AN19.29,wash,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.29,wave,AN19.KOR.km3,0.47783501870924494,1,0
AN19,1,AN19.29,weed,AN19.KOR.km3,0.35088676969468063,1,0
AN19,1,AN19.29,wick,AN19.KOR.kf1,-0.16019829852699435,1,0
AN19,1,AN19.33,beak,AN19.KOR.km7,0.17735435133533994,0,1
AN19,1,AN19.33,route,AN19.KOR.km6,-0.014098409420161436,0,1
AN19,1,AN19.33,wail,AN19.KOR.km6,0.13777361973525967,1,0
AN19,1,AN19.33,wick,AN19.KOR.kf2,-0.642430420632571,0,1
AN19,1,AN19.33,gut,AN19.KOR.kf4,-0.5157591312950868,0,1
AN19,1,AN19.33,hag,AN19.KOR.km7,-0.2285169337371089,0,1
AN19,1,AN19.33,hid,AN19.KOR.kf6,-0.33516608845507617,0,1
AN19,1,AN19.33,hoot,AN19.KOR.kf4,-0.8736836859292585,0,1
AN19,1,AN19.33,hum,AN19.KOR.km7,0.48461868351283455,0,1
