dataset_id,fold,Keyword,TestTalkerID,SentenceID,ceiling_z,numCorrect,numIncorrect
X21,1,hung,X21.CMN.CMN_M_032,HT1_S018,-0.8219756777950324,9,5
X21,1,raincoat,X21.CMN.CMN_M_032,HT1_S018,-0.40997826086897,10,4
X21,1,dog,X21.CMN.CMN_M_035,HT1_S028,0.28902730150417943,13,1
X21,1,eating,X21.CMN.CMN_M_035,HT1_S028,0.057960474020476195,12,2
X21,1,some,X21.CMN.CMN_M_035,HT1_S028,-0.1876476100077731,9,5
X21,1,meat,X21.CMN.CMN_M_035,HT1_S028,-0.1876476100077731,9,5
X21,1,dog,X21.CMN.CMN_M_043,HT1_S028,-0.17365338776788264,8,5
X21,1,eating,X21.CMN.CMN_M_043,HT1_S028,-0.2578972529440551,9,4
X21,1,some,X21.CMN.CMN_M_043,HT1_S028,-0.2578972529440551,8,5
X21,1,meat,X21.CMN.CMN_M_043,HT1_S028,-0.2578972529440551,10,3
X21,1,dog,X21.CMN.CMN_M_037,HT1_S028,-0.24390303070416458,8,4
X21,1,eating,X21.CMN.CMN_M_037,HT1_S028,0.08315937222121939,11,1
X21,1,some,X21.CMN.CMN_M_037,HT1_S028,-0.1602548481335633,10,2
X21,1,meat,X21.CMN.CMN_M_037,HT1_S028,-0.24390303070416458,9,3
X21,1,dog,X21.CMN.CMN_M_032,HT1_S028,-0.3453007662830801,12,2
X21,1,eating,X21.CMN.CMN_M_032,HT1_S028,0.057960474020476195,12,2
X21,1,some,X21.CMN.CMN_M_032,HT1_S028,0.057960474020476195,12,2
X21,1,meat,X21.CMN.CMN_M_032,HT1_S028,-0.0830858461567431,12,2
X21,1,house,X21.CMN.CMN_M_037,HT1_S041,0.5372479993906251,12,0
X21,1,had,X21.CMN.CMN_M_037,HT1_S041,-0.43586830789421976,12,0
X21,1,nine,X21.CMN.CMN_M_037,HT1_S041,-0.24390303070416458,8,4
X21,1,bedrooms,X21.CMN.CMN_M_037,HT1_S041,-0.6337657313734011,7,5
X21,1,house,X21.CMN.CMN_M_043,HT1_S041,0.5255867342806781,13,0
X21,1,had,X21.CMN.CMN_M_043,HT1_S041,0.5255867342806781,12,1
X21,1,nine,X21.CMN.CMN_M_043,HT1_S041,0.7222939175401425,9,4
X21,1,bedrooms,X21.CMN.CMN_M_043,HT1_S041,0.30137469437525777,12,1
X21,1,house,X21.CMN.CMN_M_035,HT1_S041,0.5134768504085037,13,1
X21,1,had,X21.CMN.CMN_M_035,HT1_S041,0.1550193417535753,13,1
X21,1,nine,X21.CMN.CMN_M_035,HT1_S041,-0.0830858461567431,9,5
